augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens_linear,ridge,0.001761,0.029714,0.082884,3367,337,10,65,24,0,288,16.0,8.0,54.0,24,0.056189,0.090251
qunified_z_8q_2L_3ens,ridge,0.001763,0.029675,0.078094,3367,337,10,65,24,0,216,20.0,8.0,41.0,24,0.069056,0.063014
qunified_z_8q_5L_3ens,ridge,0.001772,0.029745,0.063729,3367,337,10,65,24,0,432,47.0,8.0,89.0,24,0.061678,0.062945
qunified_z_6q_3L_3ens,ridge,0.001783,0.029794,0.056776,3367,337,10,59,18,0,216,23.0,6.0,43.0,24,0.046512,0.078239
qunified_z_8q_3L_3ens,ridge,0.001785,0.02973,0.037743,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.035735,0.055354
qunified_zzz_8q_3L_3ens,ridge,0.001785,0.029825,0.073634,3367,337,10,149,108,0,288,29.0,8.0,57.0,24,0.063064,0.06426
qunified_xyz_6q_3L_3ens,ridge,0.001787,0.029713,0.076464,3367,337,10,95,54,0,216,23.0,6.0,43.0,24,0.069476,0.090425
qunified_xyz_8q_3L_3ens,ridge,0.001789,0.029919,0.053391,3367,337,10,113,72,0,288,29.0,8.0,57.0,24,0.054081,0.059591
qunified_z_8q_3L_3ens_pca,ridge,0.001796,0.029941,0.031882,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.031378,0.054081
identity,ridge,0.001797,0.030031,0.026535,3367,337,10,41,0,0,0,,,,24,0.023071,0.049971
rff_10,ridge,0.0018,0.03009,0.033289,3367,337,10,51,10,0,170,,,,24,0.030013,0.053929
rff_30,ridge,0.001806,0.030085,0.029198,3367,337,10,71,30,0,510,,,,24,0.031086,0.05175
qunified_zzz_6q_3L_3ens,ridge,0.001806,0.02989,0.06551,3367,337,10,104,63,0,216,23.0,6.0,43.0,24,0.054606,0.083765
rff_50,ridge,0.001808,0.030067,0.037514,3367,337,10,91,50,0,850,,,,24,0.041114,0.055589
rff_96,ridge,0.00182,0.030179,0.038803,3367,337,10,137,96,0,1632,,,,24,0.04062,0.038636
poly_deg2_interact,ridge,0.002171,0.033073,0.042075,3367,337,10,177,136,0,0,,,,24,0.047093,0.060344
poly_deg2,ridge,0.002181,0.03322,0.066159,3367,337,10,194,153,0,0,,,,24,0.068388,0.080692
interaction_log,ridge,0.002214,0.033147,0.05539,3367,337,10,211,170,0,0,,,,24,0.06315,0.089503
