augmenter_name,model_name,mse,mae,pearson_r,n_predictions,n_eval_dates,n_tickers,n_features_total,n_features_augmented,n_trainable_params,n_random_params,circuit_depth,qubit_count,gate_count,n_corr_quantum_features,ic_mean_rolling_3m,ic_std_rolling_3m
qunified_z_8q_3L_3ens,ridge,0.001775,0.029709,0.058713,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.056635,0.05284
identity,ridge,0.001781,0.029722,0.035698,3367,337,10,41,0,0,0,,,,24,0.038009,0.059354
rff_30,ridge,0.001794,0.029995,0.044053,3367,337,10,71,30,0,510,,,,24,0.043489,0.056613
rff_10,ridge,0.001796,0.029859,0.026542,3367,337,10,51,10,0,170,,,,24,0.024301,0.061822
qunified_z_8q_3L_3ens_pca,ridge,0.001816,0.030136,0.006076,3367,337,10,65,24,0,288,29.0,8.0,57.0,24,0.001967,0.05428
rff_96,ridge,0.001829,0.030509,0.03088,3367,337,10,137,96,0,1632,,,,24,0.032864,0.049225
rff_50,ridge,0.001838,0.030271,-0.000197,3367,337,10,91,50,0,850,,,,24,0.001532,0.043537
poly_deg2_interact,ridge,0.002123,0.032581,0.043348,3367,337,10,177,136,0,0,,,,24,0.049889,0.059302
poly_deg2,ridge,0.002157,0.032982,0.06705,3367,337,10,194,153,0,0,,,,24,0.069574,0.083084
interaction_log,ridge,0.002249,0.033306,0.054214,3367,337,10,211,170,0,0,,,,24,0.06216,0.087889
